"Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
1975,1,1,55086.3664680953,0.171768225980164,6972.54733501455
1976,1,1,65470.3351296188,0.141971478844956,6845.61352290981
1977,1,1,133213.322193431,0.131052464250909,12833.6750343921
1978,1,1,122010.882820562,0.133830029891504,12174.586232954
1979,1,1,52499.7393473005,0.117441711009707,4772.98827551041
1980,1,1,66102.6413401603,0.161379121843015,8010.32086858916
1981,1,1,54748.458022305,0.139954805570668,5805.61604518637
1982,1,1,59697.7224909949,0.135418163979481,6146.47121899825
1983,1,1,11724.4150494259,0.136306740272387,1232.7572663098
1984,1,1,20266.6083268922,0.194466939237012,3059.97179171081
1985,1,1,6368.07379833552,0.152038288987626,746.175313609095
1986,1,1,5701.92642931749,0.157422025368026,692.781170936785
1987,1,1,16230.0644198496,0.160561980949003,2014.92417942088
1988,1,1,13305.714321122,0.198163234060186,2041.4023858978
1989,1,1,9390.60664222219,0.158393021632646,1141.86658915542
1990,1,1,13575.1839898581,0.182480072583956,1913.28934423042
1991,1,1,11706.9721945507,0.16175775487874,1463.03271594677
1992,1,1,10441.12516558,0.150491818519894,1205.25203061196
1993,1,1,15263.6137732514,0.164176317371063,1917.21582195798
1994,1,1,8029.10155147612,0.160703778078611,1002.57799962765
1995,1,1,9336.24775015882,0.151673405350281,1085.74424706002
1996,1,1,14420.9503368817,0.160138096445218,1796.37682253123
1997,1,1,18651.3604652483,0.170725057812704,2444.73211615809
1998,1,1,30921.9152913355,0.145793207471633,3426.44521893735
1999,1,1,15125.4148562987,0.180370056259922,2074.7941430946
2000,1,1,24137.8581041955,0.188746903334191,3438.51325824607
2001,1,1,20193.7299568301,0.163471285344484,2491.41944949634
2002,1,1,19796.8900180387,0.16006678797876,2402.93625855544
2003,1,1,36323.1338379832,0.146954443999817,4055.72449425159
2004,1,1,32061.2114878945,0.145265178260193,3526.41041937724
2005,1,1,43414.5661809076,0.140961751064862,4673.71461309702
2006,1,1,40916.8005779837,0.15054541568757,4682.6107819699
2007,1,1,39118.9069629281,0.137848849606206,4089.42344961727
2008,1,1,35149.9760022064,0.167412136036367,4413.73039418472
2009,1,1,32823.6340244099,0.150936397043287,3719.3270088975
2010,1,1,41408.016598501,0.158042002822653,4961.70301168793
2011,1,1,40670.4294963024,0.155344382999688,4859.6269649061
2012,1,1,30134.9290950014,0.192388373888423,4449.18675856786
2013,1,1,21878.2371139554,0.192962729622322,3172.41278841796
2014,1,1,62170.1913447548,0.172763588533307,8065.26836705498
2015,1,1,29304.0976283825,0.178442029236038,3951.87994999746
2016,1,1,35323.7807753248,0.151943694007378,4100.59082099494
2017,1,1,28353.5746576032,0.138396557777348,2989.84697628087
2018,1,1,13977.8131445133,0.147862988603511,1633.91296697567
2019,1,1,15791.4932852872,0.125064347923998,1582.15538496432
